"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","harmine-1758-dn","3/100",0.000174309995477304,0.0716275755975869,0,0,32.3619099294628,280.081821254999,"RNASE6;PTPRCAP;CRIP1"
"2","cefaclor-2483-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"MLPH;GIMAP5"
"3","skimmianine-6066-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"4","LY-294002-5965-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"5","oleandomycin-2018-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"EVL;GIMAP6"
"6","mometasone-1746-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"EVL;PTPRCAP"
"7","parthenolide-1736-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"IL10RA;RNASE6"
"8","pheniramine-1992-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"MLPH;PTPRCAP"
"9","calycanthine-1771-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"NOSIP;PTPRCAP"
"10","pyrimethamine-1974-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"MLPH;RNASE6"
"11","delsoline-6075-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"12","phenazopyridine-6100-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"13","prochlorperazine-1156-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;GIMAP6"
"14","riluzole-4689-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"15","alclometasone-6094-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"16","diloxanide-3399-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"17","terfenadine-1381-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"EVL;PTPRCAP"
"18","dirithromycin-1712-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"19","sulfaquinoxaline-6090-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"20","gabexate-4804-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"21","albendazole-1547-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;GIMAP6"
"22","metoprolol-6106-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;GIMAP6"
"23","flunisolide-2168-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"MLPH;ICAM2"
"24","Prestwick-689-6076-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"25","spiperone-1559-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;GIMAP6"
"26","lisuride-2046-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"EVL;PTPRCAP"
"27","oxybenzone-5410-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"28","quipazine-1789-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"RNASE6;PTPRCAP"
"29","azacyclonol-5398-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"30","amphotericin B-5404-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"31","propidium iodide-6104-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"32","pimozide-1562-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;SLC2A5"
"33","oxymetazoline-2278-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"34","zalcitabine-4799-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"35","pyrvinium-2957-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"SLC2A5;GIMAP6"
"36","ethaverine-3375-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"37","florfenicol-3083-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"MLPH;ICAM2"
"38","dipivefrine-1752-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"39","cefoperazone-5424-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"40","lycorine-2195-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;GIMAP6"
"41","genistein-1176-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"EVL;PTPRCAP"
"42","piromidic acid-2996-dn","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"ICAM2;CRIP1"
