"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","CPC014 VCAP 6H-BRD-A68739437-10.0-dn","2/25",0.000155939872973347,0.101994572315539,0,0,133.52508361204,1170.48623124629,"GPR65;ARHGAP15"
"2","LJP008 HCC515 24H-IOX2-10-dn","2/37",0.000344393458475379,0.101994572315539,0,0,87.6923076923077,699.234414515701,"FCN1;CST7"
"3","LJP008 HT29 24H-GSK-461364-1.11-dn","2/40",0.000402820303489047,0.101994572315539,0,0,80.7570850202429,631.279748139968,"FCN1;LST1"
"4","CPC018 SKB 24H-cct 018159-10.0-dn","2/44",0.000487703613586734,0.101994572315539,0,0,73.0512820512821,557.074662869983,"GPR65;LST1"
"5","CPC006 RKO 6H-ag14361-25.0-dn","2/63",0.000998608973944193,0.101994572315539,0,0,50.249684741488,347.182472321506,"LST1;ARHGAP15"
"6","CPC006 THP1 6H-chr 2797-80.0-dn","2/66",0.00109535932350336,0.101994572315539,0,0,47.8870192307692,326.430142431964,"GPR65;ARHGAP15"
"7","CPC014 SKB 24H-s1120-10.0-dn","2/67",0.00112857412490951,0.101994572315539,0,0,47.1479289940828,319.983577670503,"LILRB2;ARHGAP15"
"8","CPC001 HCC515 24H-cgs 21680 hydrochloride-10.0-dn","2/69",0.00119644689354031,0.101994572315539,0,0,45.735935706085,307.729625735492,"LST1;ARHGAP15"
"9","CPC014 VCAP 6H-BRD-K50387473-10.0-dn","2/69",0.00119644689354031,0.101994572315539,0,0,45.735935706085,307.729625735492,"GPR65;ARHGAP15"
"10","CPC006 THP1 6H-teniposide-1.25-dn","2/81",0.00164382289453363,0.101994572315539,0,0,38.7653359298929,248.514129782645,"GPR65;ARHGAP15"
"11","CPC006 JHUEM2 6H-vorinostat-11.1-dn","2/89",0.0019799274273914,0.101994572315539,0,0,35.1865605658709,219.025610710252,"GPR65;LST1"
"12","LJP007 HA1E 24H-GDC-0068-10-dn","2/90",0.00202404979099555,0.101994572315539,0,0,34.784965034965,215.759134779311,"LCP2;ARHGAP15"
"13","CPC014 VCAP 6H-BRD-K01436366-10.0-dn","2/91",0.00206863878325295,0.101994572315539,0,0,34.3923941227312,212.574727237538,"GPR65;ARHGAP15"
"14","CPC006 HT29 6H-cyclosporine-10.0-dn","1/3",0.002248385285759,0.101994572315539,0,0,713.678571428571,4351.68575689191,"LST1"
