"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"clotrimazole-1549","4/100",0.0005176957720029,0.310375237892897,0,0,11.8035714285714,89.3072709186654,"TSEN34;IRF2;TNFRSF1B;TREM1"
"levocabastine-2948","3/100",0.00608144188041601,0.310375237892897,0,0,8.63757804559315,44.0733582371574,"MX2;IRF2;FGL2"
"vorinostat-6179","3/100",0.00608144188041601,0.310375237892897,0,0,8.63757804559315,44.0733582371574,"FMNL1;FGL2;PARP8"
"diethylcarbamazine-7425","3/100",0.00608144188041601,0.310375237892897,0,0,8.63757804559315,44.0733582371574,"FRAT1;SEMA4D;PLEKHO2"
"rosiglitazone-4457","3/100",0.00608144188041601,0.310375237892897,0,0,8.63757804559315,44.0733582371574,"SEMA4D;IL7;DENND3"
"prilocaine-2352","3/100",0.00608144188041601,0.310375237892897,0,0,8.63757804559315,44.0733582371574,"MAP3K3;ZDHHC18;IRF2"
"chlorpromazine-6977","3/100",0.00608144188041601,0.310375237892897,0,0,8.63757804559315,44.0733582371574,"MAP3K3;FRAT1;RBM23"
"harmol-1750","3/100",0.00608144188041601,0.310375237892897,0,0,8.63757804559315,44.0733582371574,"TSEN34;FMNL1;IRF2"
"lasalocid-3021","3/100",0.00608144188041601,0.310375237892897,0,0,8.63757804559315,44.0733582371574,"TLR1;VNN2;TMEM140"
"vinpocetine-1557","3/100",0.00608144188041601,0.310375237892897,0,0,8.63757804559315,44.0733582371574,"TSEN34;MNDA;GBP2"
"neostigmine bromide-5335","3/100",0.00608144188041601,0.310375237892897,0,0,8.63757804559315,44.0733582371574,"FRAT1;ZDHHC18;GBP2"
"acepromazine-1777","3/100",0.00608144188041601,0.310375237892897,0,0,8.63757804559315,44.0733582371574,"SEMA4D;IL10RB;NRBF2"
"trichostatin A-6193","3/100",0.00608144188041601,0.310375237892897,0,0,8.63757804559315,44.0733582371574,"FMNL1;MX2;FGL2"
"phenacetin-2471","3/100",0.00608144188041601,0.310375237892897,0,0,8.63757804559315,44.0733582371574,"IRF2;FGL2;DPEP2"
"valinomycin-5911","3/100",0.00608144188041601,0.310375237892897,0,0,8.63757804559315,44.0733582371574,"VNN2;BTN3A2;GBP2"
"gliclazide-1720","3/100",0.00608144188041601,0.310375237892897,0,0,8.63757804559315,44.0733582371574,"SEMA4D;IL10RB;NRBF2"
"valproic acid-410","3/100",0.00608144188041601,0.310375237892897,0,0,8.63757804559315,44.0733582371574,"FMNL1;FGL2;MNDA"
"gliquidone-6004","3/100",0.00608144188041601,0.310375237892897,0,0,8.63757804559315,44.0733582371574,"VNN2;IRF2;GBP2"
"iproniazid-2125","3/100",0.00608144188041601,0.310375237892897,0,0,8.63757804559315,44.0733582371574,"IRF2;PLEKHO2;RBM23"
"lynestrenol-2037","3/100",0.00608144188041601,0.310375237892897,0,0,8.63757804559315,44.0733582371574,"SEMA4D;MX2;PLEKHO2"
"paracetamol-5384","3/100",0.00608144188041601,0.310375237892897,0,0,8.63757804559315,44.0733582371574,"SEMA4D;CLIC2;GBP2"
"brinzolamide-3230","3/100",0.00608144188041601,0.310375237892897,0,0,8.63757804559315,44.0733582371574,"ZDHHC18;SEMA4D;GBP2"
"alprenolol-7141","3/100",0.00608144188041601,0.310375237892897,0,0,8.63757804559315,44.0733582371574,"IL10RB;IRF2;TCIRG1"
"trifluoperazine-2684","3/100",0.00608144188041601,0.310375237892897,0,0,8.63757804559315,44.0733582371574,"TLR1;FMNL1;DPEP2"
