"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Catechol-40 mg/kg in Saline-Rat-Liver-1d-dn","3/229",5.01236924349633e-05,0.00294261240798791,0,0,65.5984513274336,649.491365941839,"ADORA3;SLCO2B1;C2"
"Beta-Estradiol-150 mg/kg in Corn Oil-Rat-Liver-0.25d-dn","3/231",5.14388281484189e-05,0.00294261240798791,0,0,65.0164473684211,642.045041542035,"ADORA3;SLCO2B1;C2"
"Rosiglitazone-1800 mg/kg in Corn Oil-Rat-Liver-3d-dn","3/252",6.66427521440923e-05,0.00294261240798791,0,0,59.4698795180723,571.872130103641,"ADORA3;SLCO2B1;C2"
"Azithromycin-50 mg/kg in Water-Rat-Liver-3d-dn","3/253",6.7432278551023e-05,0.00294261240798791,0,0,59.229,568.858222486103,"ADORA3;SLCO2B1;C2"
"Methotrexate-0.3 mg/kg in Corn Oil-Rat-Spleen-3d-up","3/256",6.98377270231263e-05,0.00294261240798791,0,0,58.5177865612648,559.976372842801,"ADORA3;SLCO2B1;C2"
"Rofecoxib-775 mg/kg in Corn Oil-Rat-Liver-1d-dn","3/263",7.56683845938853e-05,0.00294261240798791,0,0,56.9221153846154,540.142498347058,"ADORA3;SLCO2B1;C2"
"Sildenafil-2.5 mg/kg in Water-Rat-Liver-0.25d-dn","3/264",7.65265714342613e-05,0.00294261240798791,0,0,56.7011494252874,537.40626703535,"ADORA3;SLCO2B1;C2"
"Mitomycin C-0.5 mg/kg in Saline-Rat-Liver-1d-up","3/265",7.73911341210519e-05,0.00294261240798791,0,0,56.4818702290076,534.693437669564,"ADORA3;SLCO2B1;C2"
"Diethylstilbestrol-2.8 mg/kg in Corn Oil-Rat-Spleen-3d-up","3/267",7.91394761749174e-05,0.00294261240798791,0,0,56.0482954545455,529.336846196354,"ADORA3;SLCO2B1;C2"
"Dichlorvos-17 mg/kg in Water-Rat-Liver-3d-dn","3/268",8.00233000287585e-05,0.00294261240798791,0,0,55.8339622641509,526.692526098537,"ADORA3;SLCO2B1;C2"
"Beta-Estradiol-0.3 mg/kg in Corn Oil-Rat-Liver-3d-dn","3/269",8.09135887243086e-05,0.00294261240798791,0,0,55.6212406015038,524.070491773252,"ADORA3;SLCO2B1;C2"
"Diclofenac-3.5 mg/kg in Corn Oil-Rat-Liver-5d-dn","3/269",8.09135887243086e-05,0.00294261240798791,0,0,55.6212406015038,524.070491773252,"ADORA3;SLCO2B1;C2"
"Finasteride-25 mg/kg in Corn Oil-Rat-Liver-0.25d-dn","3/269",8.09135887243086e-05,0.00294261240798791,0,0,55.6212406015038,524.070491773252,"ADORA3;SLCO2B1;C2"
"Hydroxyurea-400 mg/kg in Saline-Rat-Liver-3d-dn","3/269",8.09135887243086e-05,0.00294261240798791,0,0,55.6212406015038,524.070491773252,"ADORA3;SLCO2B1;C2"
"Sparfloxacin-450 mg/kg in Corn Oil-Rat-Liver-3d-dn","3/269",8.09135887243086e-05,0.00294261240798791,0,0,55.6212406015038,524.070491773252,"ADORA3;SLCO2B1;C2"
"Acyclovir-330 mg/kg in Saline-Rat-Liver-0.25d-up","3/270",8.18103645016779e-05,0.00294261240798791,0,0,55.4101123595506,521.470475074712,"ADORA3;SLCO2B1;C2"
"Cisplatin-2 mg/kg in Saline-Rat-Spleen-3d-up","3/270",8.18103645016779e-05,0.00294261240798791,0,0,55.4101123595506,521.470475074712,"ADORA3;SLCO2B1;C2"
"Rifampin-99 mg/kg in CMC-Rat-Liver-1d-dn","3/270",8.18103645016779e-05,0.00294261240798791,0,0,55.4101123595506,521.470475074712,"ADORA3;SLCO2B1;C2"
"Tamoxifen-2.5 mg/kg in Corn Oil-Rat-Liver-3d-dn","3/270",8.18103645016779e-05,0.00294261240798791,0,0,55.4101123595506,521.470475074712,"ADORA3;SLCO2B1;C2"
"Vinorelbine-1.5 mg/kg in Saline-Rat-Bone marrow-1d-up","3/272",8.36234660373313e-05,0.00294261240798791,0,0,54.9925650557621,516.335442989696,"ADORA3;SLCO2B1;C2"
"Dipyrone-1636 mg/kg in Water-Rat-Liver-1d-dn","3/273",8.45398361560247e-05,0.00294261240798791,0,0,54.7861111111111,513.799912013038,"ADORA3;SLCO2B1;C2"
"Lamivudine-1300 mg/kg in Water-Rat-Liver-1d-dn","3/274",8.54627820496677e-05,0.00294261240798791,0,0,54.5811808118081,511.285367345251,"ADORA3;SLCO2B1;C2"
"Rofecoxib-3 mg/kg in Corn Oil-Rat-Liver-3d-dn","3/274",8.54627820496677e-05,0.00294261240798791,0,0,54.5811808118081,511.285367345251,"ADORA3;SLCO2B1;C2"
"Stanozolol-150 mg/kg in Water-Rat-Liver-3d-dn","3/274",8.54627820496677e-05,0.00294261240798791,0,0,54.5811808118081,511.285367345251,"ADORA3;SLCO2B1;C2"
"Phenothiazine-36 mg/kg in Corn Oil-Rat-Liver-1d-dn","3/275",8.63923258565731e-05,0.00294261240798791,0,0,54.3777573529412,508.791561060004,"ADORA3;SLCO2B1;C2"
"Azithromycin-225 mg/kg in Water-Rat-Liver-3d-dn","3/276",8.73284897154288e-05,0.00294261240798791,0,0,54.1758241758242,506.318249033158,"ADORA3;SLCO2B1;C2"
"Lomustine-4.2 mg/kg in Corn Oil-Rat-Liver-0.25d-dn","3/276",8.73284897154288e-05,0.00294261240798791,0,0,54.1758241758242,506.318249033158,"ADORA3;SLCO2B1;C2"
"Niacin-2625 mg/kg in Water-Rat-Liver-0.25d-up","3/276",8.73284897154288e-05,0.00294261240798791,0,0,54.1758241758242,506.318249033158,"ADORA3;SLCO2B1;C2"
"Dideoxycytidine-1200 mg/kg in CMC-Rat-Liver-3d-up","3/277",8.82712957246968e-05,0.00294261240798791,0,0,53.9753649635037,503.865190896114,"ADORA3;SLCO2B1;C2"
"Azathioprine-20 mg/kg in Corn Oil-Rat-Liver-0.25d-dn","3/278",8.92207659783078e-05,0.00294261240798791,0,0,53.7763636363636,501.432149942648,"ADORA3;SLCO2B1;C2"
"Beta-Estradiol-150 mg/kg in Corn Oil-Rat-Liver-5d-dn","3/278",8.92207659783078e-05,0.00294261240798791,0,0,53.7763636363636,501.432149942648,"ADORA3;SLCO2B1;C2"
"Promazine-100 mg/kg in Corn Oil-Rat-Liver-3d-up","3/278",8.92207659783078e-05,0.00294261240798791,0,0,53.7763636363636,501.432149942648,"ADORA3;SLCO2B1;C2"
"Temafloxacin-1000 mg/kg in CMC-Rat-Liver-1d-up","3/278",8.92207659783078e-05,0.00294261240798791,0,0,53.7763636363636,501.432149942648,"ADORA3;SLCO2B1;C2"
"Ticrynafen-570 mg/kg in CMC-Rat-Liver-3d-dn","3/278",8.92207659783078e-05,0.00294261240798791,0,0,53.7763636363636,501.432149942648,"ADORA3;SLCO2B1;C2"
"Carmustine-16 mg/kg in Corn Oil-Rat-Liver-0.25d-dn","3/279",9.01769225682699e-05,0.00294261240798791,0,0,53.5788043478261,499.018893058867,"ADORA3;SLCO2B1;C2"
"Rosiglitazone-10 mg/kg in Corn Oil-Rat-Liver-3d-dn","3/279",9.01769225682699e-05,0.00294261240798791,0,0,53.5788043478261,499.018893058867,"ADORA3;SLCO2B1;C2"
"Sulfaphenazole-1695 mg/kg in Water-Rat-Liver-5d-dn","3/279",9.01769225682699e-05,0.00294261240798791,0,0,53.5788043478261,499.018893058867,"ADORA3;SLCO2B1;C2"
"33'4'5-Tetrachlorosalicylanilide-5 mg/kg in Corn Oil-Rat-Liver-1d-up","3/280",9.11397875532226e-05,0.00294261240798791,0,0,53.3826714801444,496.625190674767,"ADORA3;SLCO2B1;C2"
"6-Mercaptopurine-25 mg/kg in Corn Oil-Rat-Liver-3d-dn","3/280",9.11397875532226e-05,0.00294261240798791,0,0,53.3826714801444,496.625190674767,"ADORA3;SLCO2B1;C2"
"Clonazepam-2500 mg/kg in CMC-Rat-Liver-1d-dn","3/280",9.11397875532226e-05,0.00294261240798791,0,0,53.3826714801444,496.625190674767,"ADORA3;SLCO2B1;C2"
"Phenobarbital-80 mg/kg in Water-Rat-Liver-5d-up","3/280",9.11397875532226e-05,0.00294261240798791,0,0,53.3826714801444,496.625190674767,"ADORA3;SLCO2B1;C2"
"Rofecoxib-3 mg/kg in Corn Oil-Rat-Liver-0.25d-dn","3/280",9.11397875532226e-05,0.00294261240798791,0,0,53.3826714801444,496.625190674767,"ADORA3;SLCO2B1;C2"
