"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Mitomycin C-1.7 mg/kg in Saline-Rat-Bone marrow-1d-up","4/310",0.00398599776542008,0.539540721225833,0,0,6.76023391812866,37.3500734864059,"GZMA;PRF1;PLCG2;NKG7"
"Acyclovir-330 mg/kg in Saline-Rat-Spleen-1d-up","4/317",0.00431446961727337,0.539540721225833,0,0,6.60669244997478,35.9785994111955,"LCK;PRF1;PLCG2;NKG7"
"Carboplatin-6 mg/kg in Saline-Rat-Spleen-3d-up","4/317",0.00431446961727337,0.539540721225833,0,0,6.60669244997478,35.9785994111955,"LCK;PRF1;PLCG2;NKG7"
"Famciclovir-112 mg/kg in Saline-Rat-Spleen-0.25d-up","4/321",0.00451017142651263,0.539540721225833,0,0,6.52199900381869,35.2280566149541,"LCK;PRF1;PLCG2;NKG7"
"Hydroxyurea-59 mg/kg in Saline-Rat-Spleen-1d-up","3/268",0.0185932183916731,0.539540721225833,0,0,5.71640058055152,22.779618324564,"LCK;GZMA;PRF1"
"Ifosfamide-17 mg/kg in Saline-Rat-Spleen-3d-up","3/287",0.0222358945563417,0.539540721225833,0,0,5.32881906825569,20.2817380873062,"LCK;PRF1;NKG7"
"Chlorambucil-0.6 mg/kg in Corn Oil-Rat-Spleen-3d-up","3/287",0.0222358945563417,0.539540721225833,0,0,5.32881906825569,20.2817380873062,"LCK;GZMA;PLCG2"
"Melphalan-12 mg/kg in CMC-Rat-Spleen-3d-dn","3/295",0.0238785458881303,0.539540721225833,0,0,5.18071654373024,19.348810032629,"PRF1;NKG7;CD3D"
"Tranilast-300 mg/kg in CMC-Rat-Spleen-3d-dn","3/304",0.0258037486721577,0.539540721225833,0,0,5.02351137234858,18.3721641268063,"PRF1;NKG7;CD3D"
"Acyclovir-330 mg/kg in Saline-Rat-Spleen-0.25d-up","3/304",0.0258037486721577,0.539540721225833,0,0,5.02351137234858,18.3721641268063,"LCK;PRF1;NKG7"
"Ferulic Acid-1500 mg/kg in CMC-Rat-Liver-5d-up","3/304",0.0258037486721577,0.539540721225833,0,0,5.02351137234858,18.3721641268063,"LCK;GZMA;NKG7"
"Thioguanine-12 mg/kg in Corn Oil-Rat-Bone marrow-1d-up","3/309",0.0269086224837767,0.539540721225833,0,0,4.94017094017094,17.8602420176628,"GZMA;PRF1;NKG7"
"Noscapine-570 mg/kg in CMC-Rat-Spleen-3d-dn","3/310",0.027132622484566,0.539540721225833,0,0,4.92382861438236,17.7603408701259,"PRF1;NKG7;CD3D"
"Acyclovir-980 mg/kg in Saline-Rat-Spleen-5d-up","3/313",0.0278106695930424,0.539540721225833,0,0,4.87543424317618,17.4654413310915,"LCK;PLCG2;NKG7"
"Lead(IV) Acetate-200 mg/kg in Saline-Rat-Spleen-0.25d-up","3/314",0.0280387002730095,0.539540721225833,0,0,4.85951026465496,17.3687137154289,"LCK;PRF1;NKG7"
"Famciclovir-1200 mg/kg in Saline-Rat-Spleen-1d-up","3/317",0.0287288338229524,0.539540721225833,0,0,4.81234688878001,17.0831288416081,"LCK;PRF1;PLCG2"
"Chlorambucil-4.5 mg/kg in Corn Oil-Rat-Spleen-1d-up","3/317",0.0287288338229524,0.539540721225833,0,0,4.81234688878001,17.0831288416081,"LCK;PRF1;NKG7"
"Fluorouracil-29 mg/kg in CMC-Rat-Spleen-3d-dn","3/321",0.0296630983317538,0.539540721225833,0,0,4.75084663763909,16.7127729044735,"PRF1;NKG7;CD3D"
"Meropenem-1500 mg/kg in CMC-Rat-Spleen-3d-dn","3/322",0.0298991778538195,0.539540721225833,0,0,4.73571256329877,16.6219925823858,"PRF1;NKG7;CD3D"
"Mitomycin C-0.5 mg/kg in Saline-Rat-Spleen-3d-up","3/323",0.0301362620640325,0.539540721225833,0,0,4.72067307692308,16.5319203843594,"LCK;PRF1;NKG7"
"N-Nitrosodiethylamine-1.67 mg/kg in Saline-Rat-Spleen-1d-up","3/328",0.0313367405970581,0.539540721225833,0,0,4.64686390532544,16.0919226439616,"LCK;PRF1;CCR7"
"Famciclovir-112 mg/kg in Saline-Rat-Spleen-1d-up","3/331",0.0320690594076673,0.539540721225833,0,0,4.60365853658537,15.8359574040855,"LCK;PRF1;NKG7"
"Cytarabine-487 mg/kg in Saline-Rat-Spleen-3d-up","3/331",0.0320690594076673,0.539540721225833,0,0,4.60365853658537,15.8359574040855,"LCK;PRF1;CCR7"
"Lead (II) Acetate-600 mg/kg in Saline-Rat-Spleen-3d-up","3/339",0.0340659209782228,0.539540721225833,0,0,4.49221611721612,15.1812547032342,"LCK;PRF1;NKG7"
"Famciclovir-112 mg/kg in Saline-Rat-Spleen-3d-up","3/341",0.034575117387391,0.539540721225833,0,0,4.46517979062358,15.0236377203703,"LCK;PRF1;PLCG2"
"N-Nitrosodiethylamine-1.67 mg/kg in Saline-Rat-Spleen-3d-up","3/352",0.0374467796122984,0.539540721225833,0,0,4.32201895525678,14.1971172521214,"LCK;PRF1;NKG7"
"Allyl Alcohol-25 mg/kg in Saline-Rat-Bone marrow-3d-up","3/374",0.0435481157830283,0.539540721225833,0,0,4.0611652498445,12.7272404629062,"GZMA;PRF1;NKG7"
